endStationName,latitude,longitude,bikeBehaviorGroup,pagerank
66th St - Lincoln Ctr,40.77344,-73.982209,subway,1
Hunts Point Ave,40.820948,-73.890549,subway,1
Canal St,40.722854,-74.006277,subway,1
Middletown Rd,40.843863,-73.836322,subway,1
23rd St,40.739864,-73.986599,subway,1
Court Sq,40.747023,-73.945264,subway,1
59th St - Columbus Circle,40.768247,-73.981929,subway,1
Hunters Point Ave,40.742216,-73.948916,subway,1
23rd St,40.744081,-73.995657,subway,1
Houston St,40.728251,-74.005367,subway,1
104th St,40.681711,-73.837683,subway,1
Broad Channel,40.60840218,-73.81583269,subway,1
Ocean Pkwy,40.57631167,-73.968501,subway,1
Vernon Blvd - Jackson Ave,40.742626,-73.953581,subway,1
68th St - Hunter College,40.768141,-73.96387,subway,1
Queensboro Plz,40.75063565,-73.94016354,subway,1
Rockaway Blvd,40.680429,-73.843853,subway,1
Union Sq - 14th St,40.734673,-73.989951,subway,1
Bedford - Nostrand Aves,40.689627,-73.953522,subway,1
15th St - Prospect Park,40.66003569,-73.97973581,subway,1
7th Ave,40.66624469,-73.98025118,subway,1
Ft Hamilton Pkwy,40.65078167,-73.975776,subway,1
Church Ave,40.644272,-73.97972116,subway,1
Beverly Rd,40.6439046,-73.9643578,subway,1
Church Ave,40.65049325,-73.96288246,subway,1
Newkirk Ave,40.63514194,-73.96269487,subway,1
Parkside Ave,40.65507304,-73.96145344,subway,1
Grand Army Plaza,40.6752947,-73.97095633,subway,1
Atlantic Av - Barclay's Center,40.68442017,-73.97754994,subway,1
Rockaway Ave,40.67834,-73.911946,subway,1
Fulton St,40.687119,-73.975375,subway,1
Clinton - Washington Aves,40.688094,-73.966796,subway,1
7th Ave,40.67710218,-73.97285279,subway,1
Atlantic Av - Barclay's Center,40.68448832,-73.97678344,subway,1
Atlantic Av - Barclay's Center,40.68366567,-73.97881,subway,1
Borough Hall,40.692404,-73.990151,subway,1
Aqueduct Racetrack,40.672097,-73.835919,subway,1
Morris Park,40.854364,-73.860495,subway,1
Pelham Pkwy,40.858985,-73.855359,subway,1
Nostrand Ave,40.680438,-73.950426,subway,1
Nevins St,40.68831058,-73.9804068,subway,1
Eastern Pkwy - Bklyn Museum,40.67203224,-73.96422204,subway,1
Beverly Rd,40.64512352,-73.94884798,subway,1
Church Ave,40.65086069,-73.94945514,subway,1
Newkirk Ave,40.63999124,-73.94829991,subway,1
Brooklyn College - Flatbush Ave,40.63284241,-73.94754121,subway,1
Sterling St,40.66277299,-73.95072891,subway,1
Crown Hts - Utica Ave,40.66897831,-73.93293256,subway,1
Kingston Ave,40.66948145,-73.94215978,subway,1
Nassau Ave,40.72448,-73.951183,subway,1
Greenpoint Ave,40.731267,-73.954425,subway,1
Marcy Ave,40.708383,-73.957832,subway,1
Hewes St,40.70689,-73.953488,subway,1
138th St - Grand Concourse,40.813224,-73.929849,subway,1
5th Ave - 53rd St,40.76008683,-73.97524851,subway,1
Lexington Ave - 53rd St,40.75746831,-73.96907237,subway,1
28th St,40.745454,-73.988698,subway,1
Herald Sq - 34th St,40.74964456,-73.98793683,subway,1
1st Ave,40.73097498,-73.98168087,subway,1
Times Sq - 42nd St,40.755983,-73.986229,subway,1
Metropolitan Ave,40.712774,-73.951424,subway,1
Grand St,40.711576,-73.940497,subway,1
Graham Ave,40.714576,-73.943944,subway,1
Bedford Ave,40.717174,-73.956665,subway,1
Montrose Ave,40.70739106,-73.93979285,subway,1
Long Island City - Court Sq,40.74630503,-73.9438156,subway,1
21st St,40.74412867,-73.9496,subway,1
39th Ave,40.75276306,-73.93285138,subway,1
145th St,40.826551,-73.95036,subway,1
157th St,40.834041,-73.94489,subway,1
96th St,40.793919,-73.972323,subway,1
103rd St,40.799446,-73.968379,subway,1
Central Park North (110th St),40.799075,-73.951822,subway,1
103rd St,40.79606074,-73.96137008,subway,1
72nd St,40.778453,-73.98197,subway,1
81st St,40.78134608,-73.97209795,subway,1
75th Ave,40.71804465,-73.83692369,subway,1
86th St,40.78582305,-73.96882849,subway,1
Cathedral Pkwy (110th St),40.803967,-73.966847,subway,1
116th St - Columbia University,40.807722,-73.96411,subway,1
125th St,40.807754,-73.945495,subway,1
135th St,40.814229,-73.94077,subway,1
116th St,40.802098,-73.949625,subway,1
Tremont Ave,40.85041,-73.905227,subway,1
137th St - City College,40.822008,-73.953676,subway,1
145th St,40.820421,-73.936245,subway,1
176th St,40.84848,-73.911794,subway,1
Burnside Ave,40.853453,-73.907684,subway,1
170th St,40.839306,-73.9134,subway,1
168th St,40.840556,-73.940133,subway,1
181st St,40.849505,-73.933596,subway,1
191st St,40.855225,-73.929412,subway,1
175th St,40.847391,-73.939704,subway,1
Beach 44th St,40.592943,-73.776013,subway,1
Beach 60th St,40.592374,-73.788522,subway,1
Beach 98th St,40.58538569,-73.82052059,subway,1
Rockaway Park - Beach 116 St,40.58095587,-73.83559009,subway,1
Beach 36th St,40.595398,-73.768175,subway,1
Beach 25th St,40.600066,-73.761353,subway,1
Parsons Blvd,40.707572,-73.803289,subway,1
169th St,40.7105175,-73.7934742,subway,1
103rd St - Corona Plaza,40.749865,-73.8627,subway,1
111th St,40.75173,-73.855334,subway,1
63rd Dr - Rego Park,40.72976397,-73.8616182,subway,1
Grant Ave,40.677044,-73.86505,subway,1
79th St,40.783934,-73.979917,subway,1
Atlantic Ave,40.67534467,-73.903097,subway,1
Christopher St - Sheridan Sq,40.733422,-74.002906,subway,1
Ozone Park - Lefferts Blvd,40.685951,-73.825798,subway,1
Times Sq - 42nd St,40.755477,-73.987691,subway,1
W 8th St - NY Aquarium,40.57603382,-73.97595787,subway,1
28th St,40.747215,-73.993365,subway,1
28th St,40.74307,-73.984264,subway,1
Pelham Bay Park,40.852462,-73.828121,subway,1
Westchester Sq - E Tremont Ave,40.839892,-73.842952,subway,1
18th St,40.74104,-73.997871,subway,1
Grand Central - 42nd St,40.751431,-73.976041,subway,1
Beach 67th St,40.590927,-73.796924,subway,1
W 4th St - Washington Sq (Upper),40.732338,-74.000495,subway,1
85th St - Forest Pky,40.692427,-73.860087,subway,1
Woodhaven Blvd,40.693704,-73.852052,subway,1
111th St,40.69711481,-73.83679338,subway,1
121st St,40.700482,-73.828349,subway,1
Halsey St,40.695518,-73.903934,subway,1
Myrtle - Wyckoff Aves,40.69947106,-73.91097572,subway,1
New Lots Ave,40.66631493,-73.88411071,subway,1
Van Siclen Ave,40.67271,-73.890358,subway,1
Cleveland St,40.679778,-73.885194,subway,1
Livonia Ave,40.66405727,-73.90056237,subway,1
Junius St,40.663589,-73.90244864,subway,1
Rockaway Ave,40.66261749,-73.90895834,subway,1
Canarsie - Rockaway Pkwy,40.64665367,-73.90185,subway,1
E 105th St,40.65046879,-73.89954769,subway,1
Saratoga Ave,40.66152979,-73.91633025,subway,1
Sutter Ave - Rutland Road,40.66476679,-73.92252119,subway,1
New Lots Ave,40.65891477,-73.89927796,subway,1
Broadway Junction,40.679366,-73.90429,subway,1
Alabama Ave,40.676998,-73.898526,subway,1
Shepherd Ave,40.67413,-73.88075,subway,1
Crescent St,40.68315266,-73.87392925,subway,1
Cypress Hills,40.689616,-73.873322,subway,1
75th St - Eldert Ln,40.69129,-73.867288,subway,1
69th St,40.746325,-73.896403,subway,1
74th St - Broadway,40.74686757,-73.89120513,subway,1
Woodhaven Blvd - Queens Mall,40.73309737,-73.86943209,subway,1
Myrtle - Wyckoff Aves,40.699454,-73.912179,subway,1
Seneca Ave,40.702919,-73.907582,subway,1
DeKalb Ave,40.703693,-73.918232,subway,1
52nd St,40.744149,-73.912549,subway,1
46th St,40.75631695,-73.91352175,subway,1
Northern Blvd,40.75282483,-73.90606508,subway,1
46th St,40.743132,-73.918435,subway,1
82nd St - Jackson Hts,40.747659,-73.883697,subway,1
90th St - Elmhurst Av,40.748408,-73.876613,subway,1
Howard Beach - JFK Airport,40.660476,-73.830301,subway,1
Aqueduct - North Conduit Av,40.668234,-73.834058,subway,1
Briarwood - Van Wyck Blvd,40.70916182,-73.82069264,subway,1
Forest Hills - 71st Av,40.72159431,-73.84451672,subway,1
Sutphin Blvd,40.705418,-73.810833,subway,1
Jamaica Ctr - Parsons / Archer,40.70206738,-73.80109632,subway,1
225th St,40.88802826,-73.86021462,subway,1
Elder Ave,40.828584,-73.879159,subway,1
Longwood Ave,40.816104,-73.896435,subway,1
Astoria Blvd,40.770037,-73.918095,subway,1
Astoria - Ditmars Blvd,40.77503567,-73.912034,subway,1
Jackson Ave,40.81643747,-73.90770194,subway,1
Prospect Ave,40.81948726,-73.90177779,subway,1
Cypress Ave,40.805368,-73.914042,subway,1
174th St,40.83719555,-73.8876936,subway,1
Allerton Ave,40.86548338,-73.86723423,subway,1
E 143rd St - St Mary's St,40.808719,-73.907657,subway,1
Kingsbridge Rd,40.86776,-73.897174,subway,1
Bedford Park Blvd - Lehman College,40.873412,-73.890064,subway,1
Harlem - 148 St,40.82388,-73.93647,subway,1
Mt Eden Ave,40.844434,-73.914685,subway,1
Fordham Rd,40.861296,-73.897749,subway,1
170th St,40.840075,-73.917791,subway,1
Bedford Park Blvd,40.873244,-73.887138,subway,1
Marble Hill - 225th St,40.874561,-73.909831,subway,1
231st St,40.878856,-73.904834,subway,1
215th St,40.869444,-73.915279,subway,1
207th St,40.864614,-73.918819,subway,1
Inwood - 207th St,40.868072,-73.919899,subway,1
Van Cortlandt Park - 242nd St,40.889248,-73.898583,subway,1
West Farms Sq - E Tremont Av,40.84020763,-73.87996128,subway,1
219th St,40.88388797,-73.86250971,subway,1
Mosholu Pkwy,40.87975,-73.884655,subway,1
Norwood - 205th St,40.874811,-73.878855,subway,1
Burke Ave,40.8712588,-73.86705362,subway,1
Baychester Ave,40.878663,-73.838591,subway,1
Eastchester - Dyre Ave,40.8883,-73.830834,subway,1
Jamaica - 179th St,40.71264567,-73.783817,subway,1
Wakefield - 241st St,40.903125,-73.85062,subway,1
Botanic Garden,40.67034267,-73.959245,subway,1
Bushwick - Aberdeen,40.68286063,-73.90526176,subway,1
Broadway Junction,40.67845625,-73.90311758,subway,1
Gun Hill Rd,40.869526,-73.846384,subway,1
E 180th St,40.84186304,-73.8733461,subway,1
Dyckman St,40.860531,-73.925536,subway,1
125th St,40.815581,-73.958372,subway,1
Franklin Ave - Fulton St,40.68059567,-73.955827,subway,1
149th St - Grand Concourse,40.81833014,-73.92672247,subway,1
3rd Ave - 149th St,40.81602925,-73.91779153,subway,1
167th St,40.835537,-73.9214,subway,1
Brook Ave,40.807566,-73.91924,subway,1
33rd St,40.744587,-73.930997,subway,1
40th St,40.743781,-73.924016,subway,1
145th St,40.82476636,-73.94408793,subway,1
155th St,40.830135,-73.938209,subway,1
161st St - Yankee Stadium,40.827905,-73.925651,subway,1
Utica Ave,40.679364,-73.930729,subway,1
Steinway St,40.75698736,-73.92052647,subway,1
Kosciuszko St,40.693172,-73.928509,subway,1
Gates Ave,40.689584,-73.922156,subway,1
Central Ave,40.697873,-73.927243,subway,1
Knickerbocker Ave,40.69866,-73.91972,subway,1
30th Ave,40.76677867,-73.921479,subway,1
Jefferson St,40.70660667,-73.922913,subway,1
Morgan Ave,40.70615167,-73.933147,subway,1
Queens Plz,40.74891772,-73.93713824,subway,1
18th Ave,40.62975467,-73.976971,subway,1
77th St,40.62974167,-74.02551,subway,1
Bay Ridge Ave,40.63496667,-74.023377,subway,1
50th St,40.63626089,-73.99465878,subway,1
Ft Hamilton Pkwy,40.63138567,-74.005351,subway,1
25th Ave,40.59770367,-73.986829,subway,1
Bay Pky,40.60195046,-73.9936762,subway,1
20th Ave,40.617109,-73.984522,subway,1
18th Ave,40.620687,-73.990454,subway,1
Bay Ridge - 95th St,40.61662167,-74.030876,subway,1
86th St,40.62268667,-74.028398,subway,1
79th St,40.61315893,-74.00058287,subway,1
71st St,40.61925871,-73.99884095,subway,1
20th Ave,40.604677,-73.99817432,subway,1
18th Ave,40.60773573,-74.00159259,subway,1
62nd St,40.62622446,-73.99685725,subway,1
New Utrecht Ave,40.62484167,-73.996353,subway,1
Ave U,40.59592483,-73.97337642,subway,1
Kings Hwy,40.60325841,-73.97235531,subway,1
Brighton Beach,40.5777102,-73.96135379,subway,1
Sheepshead Bay,40.58654755,-73.95405791,subway,1
Ave U,40.59930895,-73.95581122,subway,1
Kings Hwy,40.60863865,-73.95760874,subway,1
Ave U,40.597236,-73.979084,subway,1
Kings Hwy,40.604059,-73.980373,subway,1
Neptune Ave,40.58073876,-73.97459273,subway,1
Ave X,40.58944967,-73.974266,subway,1
Bay 50th St,40.58884067,-73.983765,subway,1
Gravesend - 86th St,40.592465,-73.978189,subway,1
Ave P,40.60884281,-73.97300282,subway,1
Ave N,40.61435671,-73.97404851,subway,1
Bay Pky,40.62073162,-73.97525698,subway,1
Ave M,40.61739774,-73.95924311,subway,1
Bay Pky,40.61145579,-73.98178001,subway,1
Ave I,40.62501744,-73.97606933,subway,1
Ave J,40.62502282,-73.96069316,subway,1
Ave H,40.62920838,-73.96151794,subway,1
Neck Rd,40.59532169,-73.95507827,subway,1
21st St - Queensbridge,40.75373927,-73.94193761,subway,1
50th St,40.762456,-73.985984,subway,1
7th Ave,40.76297015,-73.98169782,subway,1
47th-50th Sts - Rockefeller Ctr,40.758641,-73.981331,subway,1
57th St,40.764085,-73.977368,subway,1
Lexington Ave - 63rd St,40.76461809,-73.96608964,subway,1
Roosevelt Island - Main St,40.759172,-73.953235,subway,1
59th St - Columbus Circle,40.76824953,-73.98164872,subway,1
49th St,40.75980197,-73.98420957,subway,1
57th St,40.76456553,-73.98072973,subway,1
5th Ave - 59th St,40.764811,-73.973347,subway,1
Lexington Ave - 59th St,40.76270886,-73.96737502,subway,1
34th St - Penn Station,40.750373,-73.991057,subway,1
Times Sq - 42nd St,40.75529,-73.987495,subway,1
Fulton St,40.71016217,-74.00762309,subway,1
Chambers St,40.714111,-74.00858474,subway,1
42nd St - Port Authority Bus Term,40.757308,-73.989735,subway,1
Myrtle-Willoughby Aves,40.694619,-73.949067,subway,1
Flushing Ave,40.70037667,-73.950234,subway,1
23rd St,40.74295432,-73.992765,subway,1
Herald Sq - 34th St,40.7497894,-73.98777189,subway,1
Hoyt - Schermerhorn Sts,40.68840848,-73.98503624,subway,1
Jay St - MetroTech,40.69247064,-73.98721815,subway,1
East Broadway,40.713855,-73.990177,subway,1
Delancey St - Essex St,40.71868074,-73.98807807,subway,1
Lower East Side - 2nd Ave,40.72340167,-73.989938,subway,1
Flushing Ave,40.7004044,-73.94137735,subway,1
Myrtle Ave,40.697195,-73.935623,subway,1
4th Av - 9th St,40.67027167,-73.989779,subway,1
Smith - 9th Sts,40.67364106,-73.99589173,subway,1
Bergen St,40.68611055,-73.9907565,subway,1
Jay St - MetroTech,40.6922554,-73.98605668,subway,1
Court St,40.69419648,-73.99181831,subway,1
Union Sq - 14th St,40.73587227,-73.99053886,subway,1
23rd St,40.74130267,-73.989344,subway,1
Prospect Ave,40.66541367,-73.992872,subway,1
4th Av - 9th St,40.67084667,-73.988302,subway,1
3rd Ave,40.732691,-73.98575,subway,1
Union Sq - 14th St,40.73476331,-73.99066977,subway,1
Liberty Ave,40.674542,-73.896548,subway,1
Broadway Junction,40.67833367,-73.905316,subway,1
59th St,40.64136167,-74.017881,subway,1
45th St,40.64893867,-74.010006,subway,1
36th St,40.65514367,-74.003549,subway,1
9th Ave,40.64648408,-73.99444874,subway,1
53rd St,40.64506867,-74.014034,subway,1
Ft Hamilton Pkwy,40.64091271,-73.99420224,subway,1
25th St,40.66039667,-73.998091,subway,1
Carroll St,40.68027335,-73.99494698,subway,1
Spring St,40.726227,-74.003739,subway,1
181st St,40.851695,-73.937969,subway,1
190th St,40.859022,-73.93418,subway,1
116th St,40.80505813,-73.95479778,subway,1
125th St,40.81107167,-73.952248,subway,1
Prince St,40.72432867,-73.997702,subway,1
8th St - NYU,40.730465,-73.992508,subway,1
Fulton St,40.709416,-74.006571,subway,1
Park Pl,40.713051,-74.008811,subway,1
Chambers St,40.715478,-74.009266,subway,1
Hoyt St,40.69054419,-73.9850638,subway,1
Borough Hall,40.693219,-73.989998,subway,1
183rd St,40.858407,-73.903879,subway,1
Fordham Rd,40.862803,-73.901034,subway,1
World Trade Center,40.71256393,-74.00974462,subway,1
Canal St - Holland Tunnel,40.720824,-74.005229,subway,1
155th St,40.830518,-73.941514,subway,1
163rd St - Amsterdam Av,40.836013,-73.939892,subway,1
Fulton St,40.71002267,-74.007938,subway,1
Chambers St,40.71323379,-74.00340673,subway,1
Canal St,40.71817388,-73.99982639,subway,1
City Hall,40.71327233,-74.00698582,subway,1
Canal St,40.719465,-74.001826,subway,1
South Ferry,40.70173051,-74.01316896,subway,1
Bowling Green,40.704914,-74.014008,subway,1
Wall St,40.707557,-74.011862,subway,1
Whitehall St,40.70314237,-74.01300724,subway,1
Rector St,40.70774476,-74.01297456,subway,1
Fresh Pond Rd,40.706226,-73.895898,subway,1
Middle Village - Metropolitan Ave,40.71143131,-73.88957723,subway,1
Rector St,40.707513,-74.013783,subway,1
Cortlandt St,40.711835,-74.012188,subway,1
Fulton St,40.710368,-74.009509,subway,1
Broad St,40.706476,-74.011056,subway,1
Cortlandt St,40.71051298,-74.01113196,subway,1
Wall St,40.706821,-74.0091,subway,1
Dyckman St,40.865491,-73.927271,subway,1
Grand St,40.718267,-73.993753,subway,1
Broadway - Lafayette St,40.725297,-73.996204,subway,1
Bowery,40.72024688,-73.99380691,subway,1
Canal St,40.71881426,-74.00105471,subway,1
23rd St,40.745906,-73.998041,subway,1
34th St - Penn Station,40.752287,-73.993391,subway,1
Jackson Hts - Roosevelt Av,40.74653969,-73.89129867,subway,1
14th St,40.737826,-74.000201,subway,1
135th St,40.81790556,-73.94753481,subway,1
14th St,40.738228,-73.996209,subway,1
6th Ave,40.73774147,-73.99775079,subway,1
8th Ave,40.73977667,-74.002578,subway,1
14th St,40.740893,-74.00169,subway,1
Nostrand Ave,40.66993815,-73.95042625,subway,1
Clark St,40.697466,-73.993086,subway,1
Franklin Ave,40.68137967,-73.956848,subway,1
Clinton - Washington Aves,40.683263,-73.965838,subway,1
Forest Ave,40.704412,-73.903075,subway,1
110th St,40.79502,-73.94425,subway,1
86th St,40.779492,-73.955589,subway,1
York St,40.69974267,-73.986885,subway,1
High St,40.699337,-73.990531,subway,1
Lafayette Ave,40.686113,-73.973946,subway,1
President St,40.6678836,-73.9505892,subway,1
Woodlawn,40.886037,-73.878751,subway,1
Bleecker St,40.72591467,-73.994659,subway,1
103rd St,40.7906,-73.947478,subway,1
Euclid Ave,40.675377,-73.872106,subway,1
88th St,40.679843,-73.85147,subway,1
Cortelyou Rd,40.64094017,-73.96379006,subway,1
116th St,40.798629,-73.941617,subway,1
Parkchester,40.833226,-73.860816,subway,1
Franklin St,40.719318,-74.006886,subway,1
80th St,40.679371,-73.858992,subway,1
5th Ave - Bryant Pk,40.753821,-73.981963,subway,1
Spring St,40.722301,-73.997141,subway,1
125th St,40.804138,-73.937594,subway,1
Coney Island - Stillwell Av,40.577281,-73.981236,subway,1
34th St - Hudson Yards,40.75544636,-74.00219709,subway,1
72nd St,40.76880251,-73.95836179,subway,1
86th St,40.77786104,-73.95177091,subway,1
96th St,40.78423665,-73.94706602,subway,1
